Gene.Symbol,Essentiality_Rep1,Essentiality_Rep2
MRPS16,-1.740161431,-1.345793977
MRPS18B,-1.848752214,-1.575026835
MRPS18C,-1.446834675,-0.956886046
MRPS2,-1.228207941,-1.106961084
MRPS21,-1.69536974,-1.205779562
MRPS23,-1.426672108,-1.200846811
MRPS24,-2.483166111,-1.542924725
MRPS26,-1.751743228,-1.126225528
MRPS30,-1.873402357,-1.2448912
MRPS34,-2.700128019,-1.994420806
MRPS35,-1.378667977,-0.919359513
MRPS6,-1.576441835,-1.11457861
MRPS7,-1.437456865,-0.83664864
MST1,-1.129424726,-0.851400768
MSTO1,-1.405164756,-1.335185084
MTG1,-1.451234802,-0.805793115
MTG2,-1.994871541,-1.44804298
MTHFD1,-2.150263315,-1.583757842
MTHFD2,-1.217640781,-0.80166981
